timestamp,signal_jaw,signal_brow
87948,312,524
87963,317,516
87980,328,513
87995,322,515
88010,316,520
88026,325,518
88041,316,512
88057,321,510
88073,329,516
88088,327,516
88103,330,512
88120,330,509
88135,330,511
88151,332,514
88166,341,511
88182,343,508
88198,348,507
88213,343,512
88228,339,512
88245,344,512
88260,334,506
88275,331,509
88291,320,512
88306,330,513
88323,326,509
88338,329,509
88353,328,514
88369,333,516
88385,338,516
88400,339,507
88416,343,511
88431,347,514
88448,345,512
88463,347,508
88478,354,508
88494,359,514
88510,351,514
88525,356,509
88541,352,509
88556,353,507
88571,354,510
88588,353,513
88603,350,509
88619,353,504
88634,356,509
88650,355,512
88666,348,513
88681,343,509
88696,346,510
88713,343,512
88728,341,513
